place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
LAO,UGA,12,2983,20930,1.519,0.573
MSR,IRL,3,77,107364,1.043,0.028
VNM,AND,38,47073,4256,2.685,8.929
BRA,GUM,20,1284039,3958,0.281,5.053
CHN,ARM,69,150889,1505,4.579,45.847
ASM,PHL,15,106,571031,1.928,0.026
SVK,XAD,1,3599,135,1.435,7.407
YEM,TON,1,1355,125,2.430,8.000
BHR,GRD,2,9721,547,0.867,3.656
BHS,GRC,265,7854,61903,12.018,4.281
MRT,CMR,5,429,9757,2.444,0.512
FRA,XKO,128,487938,1164,5.371,109.966
IRN,ARM,56,14530,1505,11.975,37.209
SYC,MOZ,9,534,2682,7.520,3.356
SYC,MDA,4,534,737,6.376,5.427
GNB,SWE,3,98,59123,1.246,0.051
KGZ,FRO,2,983,272,3.868,7.353
SLV,SMR,2,19968,869,0.480,2.301
GUF,GRL,2,303,447,5.434,4.474
CHE,PLW,5,76384,116,1.680,43.103
KOR,ETH,74,111488,2741,4.233,26.997
SWZ,NLD,18,788,191777,1.464,0.094
PRI,SYR,11,48671,1493,1.290,7.368
GUM,SLE,1,3958,638,0.629,1.567
COG,XKO,2,1963,1164,1.323,1.718
POL,JOR,316,58288,27790,7.852,11.371
CHN,PRK,142,150889,450,17.233,315.556
USA,FRO,110,4704692,272,3.075,404.412
MKD,UZB,7,1634,1596,4.335,4.386
COL,TTO,85,236920,2571,3.444,33.061
CAN,SDN,179,384644,15075,2.351,11.874
PAN,VEN,466,12245,71139,15.789,6.551
FRO,TTO,1,272,2571,1.196,0.389
BLZ,NIC,34,1549,3841,13.939,8.852
SLB,MUS,3,74,1957,7.883,1.533
TZA,SLB,3,25444,74,2.186,40.541
STP,CHL,4,69,143661,1.270,0.028
SOM,LUX,1,1345,8446,0.297,0.118
ARE,MKD,67,172797,1634,3.987,41.004
AND,COD,10,4256,4194,2.367,2.384
BES,KOR,6,414,111488,0.883,0.054
LKA,MAR,136,7471,35288,8.376,3.854
VUT,HKG,11,199,42552,3.780,0.259
TZA,TUN,49,25444,3690,5.057,13.279
NAM,MYS,47,2871,300914,1.599,0.156
WSM,SEN,3,228,3434,3.390,0.874
WSM,MNG,1,228,2244,1.398,0.446
COL,HTI,76,236920,2693,3.009,28.221
BOL,BEL,97,5771,96930,4.101,1.001
PAK,VEN,88,102573,71139,1.030,1.237
NZL,ZAF,626,29647,180112,8.567,3.476
TCA,TTO,22,1467,2571,11.328,8.557
MMR,BRB,15,4807,2089,4.734,7.180
BGD,RWA,13,38564,2415,1.347,5.383
GRL,EST,11,447,7914,5.848,1.390
XKO,GRL,3,1164,447,4.159,6.711
RWA,STP,1,2415,69,2.450,14.493
IMN,MOZ,4,2568,2682,1.524,1.491
TZA,PRI,68,25444,48671,1.932,1.397
AGO,ISR,33,2537,10149,6.503,3.252
MUS,DZA,18,1957,21587,2.769,0.834
MMR,MOZ,12,4807,2682,3.342,4.474
GHA,XNC,9,56052,3582,0.635,2.513
YEM,BEL,11,1355,96930,0.960,0.113
IMN,BRB,1,2568,2089,0.432,0.479
XKO,TUN,6,1164,3690,2.895,1.626
VCT,JAM,35,373,8567,19.579,4.085
NOR,LTU,349,31294,5816,25.869,60.007
KNA,IDN,21,641,797242,0.929,0.026
BGD,MYS,648,38564,300914,6.015,2.153
MYS,MMR,511,300914,4807,13.436,106.303
CAN,AGO,63,384644,2537,2.017,24.832
GRC,EST,363,61903,7914,16.400,45.868
TON,CRI,1,125,27611,0.538,0.036
BEN,RUS,18,1200,136230,1.408,0.132
BRN,TGO,1,1425,908,0.879,1.101
JPN,GMB,14,1087206,542,0.577,25.830
GUF,MAC,1,303,4155,0.891,0.241
TON,CZE,1,125,43191,0.430,0.023
BLZ,TUR,44,1549,717647,1.320,0.061
ECU,PLW,3,61055,116,1.127,25.862
MDG,TKM,3,754,188,7.968,15.957
PYF,ZMB,4,766,9787,1.461,0.409
JEY,CHL,10,2019,143661,0.587,0.070
BMU,OMN,9,997,40057,1.424,0.225
VIR,PRY,4,4378,39492,0.304,0.101
PRK,UKR,16,450,19011,5.470,0.842
IND,LIE,31,869366,748,1.216,41.444
LKA,IRQ,28,7471,8149,3.589,3.436
COG,CHE,44,1963,76384,3.593,0.576
KAZ,FSM,2,3178,50,5.017,40.000
LTU,FJI,7,5816,1393,2.459,5.025
MEX,BRN,21,594386,1425,0.722,14.737
SLE,COL,16,638,236920,1.301,0.068
KAZ,CAN,117,3178,384644,3.346,0.304
DEU,ASM,9,273307,106,1.672,84.906
GAB,SUR,1,1522,319,1.435,3.135
KAZ,TCD,2,3178,308,2.022,6.494
NGA,MAR,453,218728,35288,5.156,12.837
CAN,VIR,291,384644,4378,7.091,66.469
VUT,ISL,6,199,5949,5.514,1.009
GRL,ARG,36,447,410228,2.658,0.088
MAR,CMR,102,35288,9757,5.497,10.454
VNM,DNK,398,47073,38106,9.397,10.445
BLR,PAN,11,4614,12245,1.463,0.898
AUS,BES,19,179728,414,2.203,45.894
GGY,CAN,32,1036,384644,1.603,0.083
PLW,EGY,4,116,156265,0.940,0.026
YEM,TUN,12,1355,3690,5.367,3.252
HTI,CZE,16,2693,43191,1.484,0.370
COM,CPV,1,104,948,3.185,1.055
FIN,BFA,6,32500,508,1.477,11.811
MLT,UGA,10,3352,20930,1.194,0.478
TLS,KEN,4,218,62817,1.081,0.064
SRB,TTO,9,17319,2571,1.349,3.501
VGB,STP,1,698,69,4.557,14.493
COL,IDN,861,236920,797242,1.981,1.080
SGP,MYS,17038,75983,300914,112.678,56.621
ALB,KAZ,19,1755,3178,8.045,5.979
NER,THA,9,518,349012,0.669,0.026
ARE,SEN,92,172797,3434,3.777,26.791
SAU,SSD,37,517797,1682,1.254,21.998
VUT,HND,3,199,5203,2.948,0.577
MNG,GTM,13,2244,9361,2.836,1.389
LAO,GLP,2,2983,1022,1.145,1.957
GIN,UKR,12,1066,19011,2.666,0.631
NOR,VUT,13,31294,199,5.209,65.327
BHR,UZB,6,9721,1596,1.523,3.759
KNA,HTI,10,641,2693,7.611,3.713
BEN,LBR,9,1200,635,10.310,14.173
YEM,AGO,5,1355,2537,2.697,1.971
UGA,NZL,39,20930,29647,1.566,1.315
SVN,ARE,178,3390,172797,7.354,1.030
SYR,BDI,3,1493,289,4.567,10.381
PRT,ROU,814,114156,18903,17.523,43.062
VIR,COG,1,4378,1963,0.341,0.509
MUS,XNC,9,1957,3582,3.399,2.513
CAF,VNM,9,176,47073,3.127,0.191
IMN,BWA,1,2568,2692,0.380,0.371
CAN,BEL,3478,384644,96930,18.012,35.882
ECU,TTO,39,61055,2571,3.113,15.169
NZL,TON,34,29647,125,17.662,272.000
MNE,GIN,3,1771,1066,2.183,2.814
TLS,GTM,4,218,9361,2.800,0.427
CAF,COD,13,176,4194,15.131,3.100
MTQ,ESP,108,991,612306,4.384,0.176
USA,WSM,85,4704692,228,2.595,372.807
GHA,MAR,296,56052,35288,6.656,8.388
KWT,LUX,34,110415,8446,1.113,4.026
VCT,SVK,3,373,3599,2.589,0.834
GAB,COL,28,1522,236920,1.475,0.118
JOR,GBR,1933,27790,1172344,10.709,1.649
MDA,IND,50,737,869366,1.975,0.058
GNQ,ESP,34,196,612306,3.104,0.056
VGB,GBR,124,698,1172344,4.335,0.106
CUB,EST,23,6315,7914,3.253,2.906
FIN,TJK,2,32500,257,0.692,7.782
XAD,ISR,7,135,10149,5.980,0.690
PHL,JEY,18,571031,2019,0.530,8.915
GNQ,SVN,2,196,3390,2.454,0.590
PRT,NLD,7409,114156,191777,50.074,38.633
ATG,GUM,1,1084,3958,0.483,0.253
UZB,DZA,8,1596,21587,1.363,0.371
VNM,SWE,491,47073,59123,9.307,8.305
COL,GUY,23,236920,442,2.248,52.036
VEN,HKG,91,71139,42552,1.654,2.139
BGR,COG,7,5496,1963,2.131,3.566
NGA,GHA,2854,218728,56052,25.775,50.917
HKG,CMR,28,42552,9757,1.374,2.870
SSD,KWT,7,1682,110415,0.514,0.063
JOR,BDI,6,27790,289,2.117,20.761
CAF,TZA,9,176,25444,4.253,0.354
EST,GUY,3,7914,442,1.604,6.787
MDG,MYT,5,754,123,16.418,40.650
TUN,NPL,33,3690,8375,5.936,3.940
MUS,CYM,8,1957,1631,4.478,4.905
COG,LBR,7,1963,635,6.270,11.024
SEN,BEN,32,3434,1200,15.764,26.667
KAZ,PRT,88,3178,114156,4.620,0.771
KOR,MLT,74,111488,3352,3.828,22.076
SVN,CMR,6,3390,9757,1.043,0.615
HUN,GRC,1499,30689,61903,34.392,24.215
MTQ,CYP,9,991,4285,4.367,2.100
PNG,SRB,6,451,17319,2.147,0.346
VNM,MYS,4630,47073,300914,38.902,15.386
LBY,FRO,1,2753,272,1.156,3.676
IRL,GUM,9,107364,3958,0.437,2.274
MKD,HND,4,1634,5203,1.372,0.769
GIN,KWT,2,1066,110415,0.184,0.018
GMB,ESP,48,542,612306,2.635,0.078
THA,JEY,43,349012,2019,1.620,21.298
KGZ,WSM,1,983,228,2.112,4.386
CHN,NAM,69,150889,2871,3.315,24.033
UZB,TGO,1,1596,908,0.831,1.101
IRN,LBN,104,14530,6368,10.812,16.332
GRL,ISL,81,447,5949,49.672,13.616
MDG,MKD,6,754,1634,5.406,3.672
BLZ,ATG,16,1549,1084,12.348,14.760
LBY,REU,3,2753,2224,1.212,1.349
JPN,IMN,69,1087206,2568,1.306,26.869
DZA,SSD,21,21587,1682,3.485,12.485
EST,NOR,592,7914,31294,37.618,18.917
AGO,CMR,11,2537,9757,2.211,1.127
HND,AUT,39,5203,61352,2.183,0.636
GUY,WSM,1,442,228,3.150,4.386
SGP,USA,12227,75983,4704692,20.450,2.599
TKM,PRT,6,188,114156,1.295,0.053
SJM,IRN,1,407,14530,0.411,0.069
ALB,NGA,22,1755,218728,1.123,0.101
XAD,BLR,6,135,4614,7.602,1.300
GRC,ISL,343,61903,5949,17.874,57.657
AZE,MUS,16,4083,1957,5.660,8.176
NER,USA,69,518,4704692,1.398,0.015
NZL,YEM,14,29647,1355,2.209,10.332
CIV,SAU,23,2962,517797,0.587,0.044
GGY,BRB,2,1036,2089,1.360,0.957
VCT,CAF,1,373,176,3.903,5.682
RWA,MWI,22,2415,1396,11.982,15.759
IDN,UKR,380,797242,19011,3.087,19.988
USA,BGD,1798,4704692,38564,4.221,46.624
NAM,MRT,2,2871,429,1.802,4.662
SWZ,LSO,18,788,753,23.367,23.904
ETH,DMA,5,2741,246,6.089,20.325
MAC,PAK,10,4155,102573,0.484,0.097
IND,HRV,410,869366,9250,4.572,44.324
GGY,DOM,3,1036,46940,0.430,0.064
LCA,BRB,140,1263,2089,86.190,67.018
SWZ,MNG,2,788,2244,1.504,0.891
DZA,GUY,4,21587,442,1.295,9.050
ARE,TCA,53,172797,1467,3.329,36.128
GRC,SMR,54,61903,869,7.363,62.140
VGB,SYC,3,698,534,4.914,5.618
MAC,ECU,17,4155,61055,1.067,0.278
GRC,GRD,38,61903,547,6.530,69.470
JOR,SYC,29,27790,534,7.528,54.307
AZE,VGB,2,4083,698,1.185,2.865
VEN,EST,19,71139,7914,0.801,2.401
GUF,BEL,21,303,96930,3.875,0.217
CYM,GUF,2,1631,303,2.845,6.601
BDI,MMR,1,289,4807,0.848,0.208
PNG,LBN,1,451,6368,0.590,0.157
XAD,VNM,1,135,47073,0.397,0.021
MNE,URY,14,1771,48468,1.511,0.289
DZA,GRL,7,21587,447,2.253,15.660
DNK,GRL,60,38106,447,14.538,134.228
IMN,NLD,151,2568,191777,6.804,0.787
PAN,LTU,21,12245,5816,2.488,3.611
NRU,NER,2,12,518,25.367,3.861
BFA,ARG,13,508,410228,0.901,0.032
DOM,MNE,18,46940,1771,1.974,10.164
CYP,KGZ,10,4285,983,4.872,10.173
NER,TJK,1,518,257,2.741,3.891
PRI,KEN,111,48671,62817,2.007,1.767
GRC,BGR,647,61903,5496,35.077,117.722
GBR,TLS,21,1172344,218,1.314,96.330
AND,ARE,111,4256,172797,4.093,0.642
MTQ,SVK,7,991,3599,3.707,1.945
CHL,SLV,283,143661,19968,5.284,14.173
GLP,MNP,1,1022,269,1.907,3.717
UGA,DMA,6,20930,246,2.644,24.390
PRY,LIE,2,39492,748,0.368,2.674
NRU,AZE,2,12,4083,9.035,0.490
TUN,FSM,3,3690,50,6.984,60.000
DEU,BOL,235,273307,5771,5.917,40.721
REU,LBN,12,2224,6368,3.189,1.884
IRQ,MEX,124,8149,594386,1.782,0.209
EST,SDN,12,7914,15075,1.099,0.796
AFG,LTU,5,1444,5816,1.725,0.860
SMR,NLD,109,869,191777,8.443,0.568
GLP,PAN,11,1022,12245,3.109,0.898
SWZ,KNA,2,788,641,2.814,3.120
WSM,MSR,1,228,77,7.547,12.987
AUS,AZE,147,179728,4083,5.426,36.003
TUN,CAN,213,3690,384644,5.654,0.554
SPM,GBR,1,21,1172344,0.202,0.001
FJI,MYS,95,1393,300914,4.640,0.316
JOR,MLT,57,27790,3352,5.906,17.005
SGP,TJK,10,75983,257,2.263,38.911
TUR,CZE,2173,717647,43191,12.343,50.311
LKA,ISL,74,7471,5949,11.100,12.439
DNK,SLB,3,38106,74,1.787,40.541
NZL,TTO,21,29647,2571,2.405,8.168
ZWE,BRA,170,13401,1284039,1.296,0.132
LSO,ROU,6,753,18903,1.590,0.317
FRA,REU,935,487938,2224,28.383,420.414
JPN,EST,483,1087206,7914,5.207,61.031
NCL,PRI,5,346,48671,1.218,0.103
STP,JOR,3,69,27790,2.166,0.108
KNA,TUR,23,641,717647,1.072,0.032
QAT,SYR,27,38118,1493,3.579,18.084
CPV,MNG,3,948,2244,2.057,1.337
CHE,BEL,5372,76384,96930,62.432,55.421
MSR,SGP,1,77,75983,0.413,0.013
LBN,PAK,72,6368,102573,2.817,0.702
HRV,ISR,189,9250,10149,19.506,18.623
MDA,POL,71,737,58288,10.833,1.218
LAO,FIN,40,2983,32500,4.062,1.231
SWE,JEY,37,59123,2019,3.387,18.326
NOR,VEN,109,31294,71139,2.310,1.532
PRI,GNQ,1,48671,196,0.324,5.102
MWI,CRI,8,1396,27611,1.289,0.290
SYR,ROU,19,1493,18903,3.577,1.005
MNP,SAU,1,269,517797,0.085,0.002
ISL,NER,3,5949,518,1.709,5.792
LVA,ECU,34,9833,61055,1.388,0.557
REU,DMA,2,2224,246,2.704,8.130
AUT,LCA,34,61352,1263,3.862,26.920
CRI,ARM,12,27611,1505,1.862,7.973
ESH,ZMB,4,555,9787,1.716,0.409
AZE,BGR,51,4083,5496,10.766,9.279
NCL,SDN,1,346,15075,0.438,0.066
DZA,ATG,6,21587,1084,1.240,5.535
GNB,MMR,2,98,4807,2.914,0.416
MYS,RWA,39,300914,2415,1.447,16.149
CPV,NPL,9,948,8375,3.194,1.075
CHE,YEM,15,76384,1355,1.474,11.070
YEM,SSD,5,1355,1682,3.312,2.973
DNK,MAC,42,38106,4155,3.338,10.108
URY,MLT,14,48468,3352,1.098,4.177
MNE,BES,3,1771,414,3.504,7.246
CHN,MDG,59,150889,754,5.531,78.249
BHS,KOR,83,7854,111488,2.805,0.744
COL,AGO,42,236920,2537,1.713,16.555
COL,GRL,29,236920,447,2.818,64.877
TUR,OMN,1537,717647,40057,9.065,38.370
CYM,JEY,3,1631,2019,1.653,1.486
BFA,ISL,6,508,5949,3.451,1.009
KAZ,SEN,13,3178,3434,3.935,3.786
GUM,BLZ,3,3958,1549,1.212,1.937
BGD,GUF,5,38564,303,1.463,16.502
NAM,ASM,1,2871,106,1.813,9.434
KNA,VIR,104,641,4378,62.082,23.755
BTN,NRU,2,727,12,21.413,166.667
TJK,PRK,1,257,450,2.941,2.222
VNM,NER,8,47073,518,1.620,15.444
CZE,MNE,102,43191,1771,11.663,57.595
DMA,TWN,4,246,61165,1.031,0.065
CHN,NZL,986,150889,29647,14.742,33.258
ARE,FSM,4,172797,50,1.361,80.000
LBY,CPV,2,2753,948,1.238,2.110
SVK,GRC,247,3599,61903,16.548,3.990
FJI,UKR,18,1393,19011,3.498,0.947
FIN,SWE,3484,32500,59123,79.480,58.928
NOR,SHN,2,31294,29,2.099,68.966
HUN,CMR,23,30689,9757,1.329,2.357
BRN,ISL,7,1425,5949,2.404,1.177
PNG,BLZ,2,451,1549,2.393,1.291
SRB,BEL,670,17319,96930,16.353,6.912
SWZ,MOZ,52,788,2682,35.769,19.389
SVK,ZMB,11,3599,9787,1.853,1.124
BEL,ESH,25,96930,555,3.409,45.045
CMR,TCD,20,9757,308,11.537,64.935
VNM,DJI,5,47073,151,1.875,33.113
COL,SLB,5,236920,74,1.194,67.568
HUN,PAK,120,30689,102573,2.139,1.170
GRD,FIN,12,547,32500,2.846,0.369
JPN,HKG,9027,1087206,42552,41.969,212.140
DJI,UZB,2,151,1596,4.074,1.253
VEN,ERI,2,71139,65,0.930,30.769
FSM,PRT,2,50,114156,0.837,0.018
IRL,PER,441,107364,81652,4.710,5.401
TGO,SWZ,3,908,788,3.547,3.807
SLV,DZA,16,19968,21587,0.771,0.741
TCD,SLB,1,308,74,6.624,13.514
CUB,QAT,47,6315,38118,3.029,1.233
MSR,GTM,4,77,9361,4.711,0.427
ESP,SJM,81,612306,407,5.131,199.017
NPL,UZB,31,8375,1596,8.479,19.424
JAM,ITA,495,8567,302492,9.724,1.636
PRI,LCA,96,48671,1263,12.244,76.010
CAN,TTO,281,384644,2571,8.936,109.296
PSE,COD,24,3954,4194,5.894,5.722
FRO,PRI,9,272,48671,2.474,0.185
CHL,PER,5198,143661,81652,47.994,63.660
NRU,GIN,1,12,1066,8.842,0.938
TCD,TUN,3,308,3690,2.814,0.813
COL,PRI,1239,236920,48671,11.538,25.457
PYF,TLS,1,766,218,2.447,4.587
ZAF,VEN,182,180112,71139,1.608,2.558
GRC,IRQ,67,61903,8149,2.983,8.222
AUS,DEU,5906,179728,273307,26.648,21.609
NER,DEU,19,518,273307,1.597,0.070
GAB,RUS,28,1522,136230,1.945,0.206
CHN,COL,841,150889,236920,4.448,3.550
KNA,BEL,19,641,96930,2.410,0.196
TKM,NPL,4,188,8375,3.188,0.478
BHS,BLR,8,7854,4614,1.329,1.734
DEU,AND,431,273307,4256,12.637,101.269
MOZ,KOR,27,2682,111488,1.561,0.242
YEM,NOR,9,1355,31294,1.382,0.288
ARE,KNA,25,172797,641,2.375,39.002
BIH,ROU,120,2960,18903,16.042,6.348
VNM,BFA,12,47073,508,2.454,23.622
TCD,PRI,4,308,48671,1.033,0.082
MLI,ISR,15,925,10149,4.896,1.478
VGB,SAU,6,698,517797,0.316,0.012
EGY,PAN,92,156265,12245,2.103,7.513
AFG,JOR,20,1444,27790,3.157,0.720
GHA,UZB,6,56052,1596,0.634,3.759
CRI,LBR,7,27611,635,1.672,11.024
SYC,MYT,1,534,123,3.902,8.130
FSM,BWA,1,50,2692,2.726,0.371
PER,GUF,9,81652,303,1.809,29.703
VEN,JPN,284,71139,1087206,1.021,0.261
AUS,NGA,941,179728,218728,4.746,4.302
XKO,NOR,14,1164,31294,2.320,0.447
KNA,PRI,132,641,48671,23.633,2.712
GMB,CIV,6,542,2962,4.735,2.026
BES,COD,3,414,4194,2.277,0.715
HUN,BLR,135,30689,4614,11.345,29.259
LBN,ALB,15,6368,1755,4.487,8.547
LKA,ZWE,30,7471,13401,2.998,2.239
THA,RWA,55,349012,2415,1.894,22.774
MDG,MOZ,19,754,2682,13.361,7.084
GGY,ROU,6,1036,18903,1.356,0.317
THA,KWT,1934,349012,110415,9.852,17.516
PRI,CAF,2,48671,176,0.683,11.364
KNA,TUN,4,641,3690,2.601,1.084
GNQ,LBY,2,196,2753,2.723,0.726
TCD,BEL,7,308,96930,1.281,0.072
BRB,SWZ,2,2089,788,1.559,2.538
BEN,NZL,10,1200,29647,1.677,0.337
MLI,ARE,30,925,172797,2.373,0.174
AZE,DZA,21,4083,21587,2.237,0.973
NGA,ARG,320,218728,410228,1.068,0.780
CHL,GRD,12,143661,547,1.354,21.938
ECU,TUN,25,61055,3690,1.666,6.775
MEX,LAO,96,594386,2983,2.280,32.182
SYR,TCA,2,1493,1467,1.351,1.363
MNG,CYP,7,2244,4285,2.257,1.634
USA,PRK,182,4704692,450,3.955,404.444
KNA,SLB,1,641,74,4.592,13.514
CAN,GUY,66,384644,442,5.062,149.321
IDN,GUF,15,797242,303,0.965,49.505
BGD,GAB,7,38564,1522,0.914,4.599
MEX,HND,503,594386,5203,9.045,96.675
LBR,MLI,5,635,925,6.524,5.405
BDI,DEU,22,289,273307,2.475,0.080
SRB,GRL,12,17319,447,4.313,26.846
CHE,ZAF,1426,76384,180112,12.158,7.917
SJM,CHL,16,407,143661,2.092,0.111
GIN,KAZ,5,1066,3178,2.717,1.573
GMB,GTM,4,542,9361,1.776,0.427
MKD,IMN,1,1634,2568,0.488,0.389
PHL,UKR,284,571031,19011,2.726,14.939
TGO,MAC,1,908,4155,0.515,0.241
FRA,BGD,500,487938,38564,3.645,12.965
TLS,CYP,3,218,4285,3.104,0.700
MLT,CPV,15,3352,948,8.415,15.823
BDI,GAB,5,289,1522,7.539,3.285
ALA,CHL,3,444,143661,0.376,0.021
THA,BES,19,349012,414,1.581,45.894
AUT,ALA,24,61352,444,4.598,54.054
ESP,MDG,124,612306,754,5.771,164.456
GLP,VNM,17,1022,47073,2.451,0.361
XKO,GUY,1,1164,442,1.394,2.262
NZL,LKA,142,29647,7471,9.541,19.007
TKM,NLD,13,188,191777,2.165,0.068
AUS,GUF,16,179728,303,2.168,52.805
CZE,AZE,86,43191,4083,6.476,21.063
ERI,NER,3,65,518,16.349,5.792
LIE,NRU,1,748,12,10.555,83.333
GRC,IMN,70,61903,2568,5.552,27.259
SWZ,BDI,1,788,289,2.096,3.460
GMB,KEN,30,542,62817,5.141,0.478
MYT,IRL,1,123,107364,0.275,0.009
TKM,MKD,3,188,1634,5.413,1.836
IRL,MUS,66,107364,1957,4.553,33.725
GRC,QAT,489,61903,38118,10.067,12.829
ESP,SUR,31,612306,319,2.218,97.179
TZA,NOR,161,25444,31294,5.706,5.145
ESP,NZL,1499,612306,29647,11.126,50.562
BEN,COL,16,1200,236920,0.949,0.068
DZA,SWZ,1,21587,788,0.242,1.269
HUN,KOR,503,30689,111488,8.599,4.512
NCL,MEX,27,346,594386,1.883,0.045
CYP,HRV,110,4285,9250,17.472,11.892
MEX,ESH,13,594386,555,0.716,23.423
SLV,IRQ,12,19968,8149,0.941,1.473
PLW,ETH,4,116,2741,7.094,1.459
NAM,HUN,17,2871,30689,1.811,0.554
SLE,PRK,3,638,450,5.599,6.667
IRL,VGB,20,107364,698,2.310,28.653
GMB,JAM,12,542,8567,5.569,1.401
CAN,PLW,10,384644,116,1.497,86.207
BHR,XNC,7,9721,3582,1.186,1.954
TTO,PYF,5,2571,766,3.563,6.527
BIH,TCA,3,2960,1467,1.440,2.045
GNQ,CHN,9,196,150889,1.655,0.060
YEM,VCT,1,1355,373,1.407,2.681
CIV,TCD,10,2962,308,10.470,32.468
EST,VIR,11,7914,4378,1.869,2.513
USA,CPV,201,4704692,948,3.010,212.025
MKD,BRN,5,1634,1425,3.277,3.509
DZA,BEL,224,21587,96930,4.897,2.311
KHM,VUT,8,5940,199,7.358,40.201
CZE,DEU,11273,43191,273307,103.757,41.247
CRI,NAM,27,27611,2871,3.033,9.404
GRL,BRN,3,447,1425,3.759,2.105
WSM,MOZ,4,228,2682,5.115,1.491
PER,JEY,13,81652,2019,1.012,6.439
BLR,BLR,4614,4614,4614,1000.000,1000.000
PER,MNE,38,81652,1771,3.160,21.457
TTO,PER,50,2571,81652,3.451,0.612
BHS,ARE,276,7854,172797,7.492,1.597
SMR,MNG,3,869,2244,2.148,1.337
NGA,HND,31,218728,5203,0.919,5.958
AGO,COD,51,2537,4194,15.635,12.160
GTM,PRY,82,9361,39492,4.265,2.076
ASM,BEL,5,106,96930,1.560,0.052
CMR,SYC,5,9757,534,2.190,9.363
NPL,VGB,5,8375,698,2.068,7.163
TUN,STP,2,3690,69,3.964,28.986
PAK,VUT,5,102573,199,1.107,25.126
CHE,PRI,374,76384,48671,6.134,7.684
ARM,VUT,3,1505,199,5.482,15.075
ECU,ZAF,225,61055,180112,2.146,1.249
PRY,KGZ,7,39492,983,1.123,7.121
TGO,AGO,4,908,2537,2.635,1.577
PRT,BRB,101,114156,2089,6.540,48.348
GEO,ISR,104,4124,10149,16.075,10.247
JAM,JAM,8567,8567,8567,1000.000,1000.000
NGA,ISL,56,218728,5949,1.552,9.413
PLW,SOM,2,116,1345,5.063,1.487
GTM,BHS,59,9361,7854,6.881,7.512
AND,ISR,33,4256,10149,5.021,3.252
BLZ,TTO,19,1549,2571,9.521,7.390
GUF,IDN,15,303,797242,0.965,0.019
BGR,CHN,172,5496,150889,5.973,1.140
JAM,CIV,22,8567,2962,4.367,7.427
JPN,ARG,1799,1087206,410228,2.694,4.385
FRA,NZL,1909,487938,29647,15.872,64.391
MNG,SVN,9,2244,3390,3.263,2.655
AUS,MMR,322,179728,4807,10.955,66.986
SEN,GLP,17,3434,1022,9.075,16.634
QAT,AUS,1094,38118,179728,13.217,6.087
DOM,TJK,2,46940,257,0.576,7.782
EGY,BIH,81,156265,2960,3.766,27.365
MTQ,GNQ,1,991,196,2.269,5.102
VNM,PNG,17,47073,451,3.690,37.694
AUT,ITA,11941,61352,302492,87.654,39.475
LBY,RUS,34,2753,136230,1.756,0.250
MMR,LSO,5,4807,753,2.628,6.640
GNQ,LVA,5,196,9833,3.602,0.508
TLS,AFG,2,218,1444,3.565,1.385
GMB,CUB,8,542,6315,4.324,1.267
ATG,LAO,6,1084,2983,3.337,2.011
MLI,CMR,18,925,9757,5.992,1.845
RUS,TGO,10,136230,908,0.899,11.013
SYR,LSO,2,1493,753,1.886,2.656
BRN,PSE,9,1425,3954,3.792,2.276
MNG,AFG,5,2244,1444,2.778,3.463
LSO,SEN,4,753,3434,2.487,1.165
REU,CHE,75,2224,76384,5.754,0.982
KEN,BOL,48,62817,5771,2.521,8.317
BRA,SLV,399,1284039,19968,2.492,19.982
NAM,BFA,3,2871,508,2.484,5.906
THA,UKR,446,349012,19011,5.475,23.460
CYM,SGP,27,1631,75983,2.425,0.355
PER,ALA,3,81652,444,0.498,6.757
BDI,GTM,4,289,9361,2.432,0.427
COL,BIH,55,236920,2960,2.077,18.581
KWT,GHA,43,110415,56052,0.547,0.767
AZE,BRA,149,4083,1284039,2.058,0.116
SWE,JAM,87,59123,8567,3.866,10.155
AGO,MEX,91,2537,594386,2.343,0.153
ETH,ISL,34,2741,5949,8.420,5.715
GNB,KEN,4,98,62817,1.612,0.064
ESH,BEL,25,555,96930,3.409,0.258
BWA,LTU,8,2692,5816,2.022,1.376
JAM,AZE,18,8567,4083,3.043,4.409
GTM,AND,11,9361,4256,1.743,2.585
GAB,GMB,4,1522,542,4.404,7.380
LBY,GUM,1,2753,3958,0.303,0.253
ZMB,PER,36,9787,81652,1.273,0.441
LIE,EGY,18,748,156265,1.665,0.115
GIN,ITA,24,1066,302492,1.337,0.079
BDI,GNQ,3,289,196,12.605,15.306
PAN,GBR,498,12245,1172344,4.156,0.425
VUT,BLZ,4,199,1549,7.205,2.582
LBY,MAR,34,2753,35288,3.450,0.964
CYM,LCA,21,1631,1263,14.632,16.627
BGD,CIV,20,38564,2962,1.871,6.752
DOM,CIV,9,46940,2962,0.763,3.038
PRT,OMN,246,114156,40057,3.638,6.141
GLP,BEL,39,1022,96930,3.918,0.402
CRI,BRN,5,27611,1425,0.797,3.509
GRL,NAM,11,447,2871,9.710,3.831
AGO,SWZ,5,2537,788,3.536,6.345
CRI,GHA,43,27611,56052,1.093,0.767
GNQ,TJK,1,196,257,4.456,3.891
ZWE,CYM,5,13401,1631,1.069,3.066
POL,SEN,32,58288,3434,2.262,9.319
BDI,CIV,3,289,2962,3.242,1.013
