place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
IRN,MTQ,7,14530,991,1.845,7.064
MRT,NGA,16,429,218728,1.652,0.073
PRT,SMR,79,114156,869,7.932,90.909
ERI,BIH,1,65,2960,2.280,0.338
BES,MNE,3,414,1771,3.504,1.694
SMR,IMN,3,869,2568,2.008,1.168
BRN,FSM,1,1425,50,3.746,20.000
BTN,BGD,68,727,38564,12.843,1.763
SLE,AUT,13,638,61352,2.078,0.212
DZA,SVK,15,21587,3599,1.702,4.168
XNC,BGR,31,3582,5496,6.987,5.640
DOM,ZMB,14,46940,9787,0.653,1.430
SMR,MAR,20,869,35288,3.612,0.567
NPL,SYC,14,8375,534,6.620,26.217
ARE,ISL,315,172797,5949,9.825,52.950
IND,LBN,271,869366,6368,3.642,42.557
BRN,CAN,38,1425,384644,1.623,0.099
GUF,AUS,16,303,179728,2.168,0.089
GTM,VCT,4,9361,373,2.141,10.724
MYS,BLR,60,300914,4614,1.610,13.004
MRT,GAB,4,429,1522,4.950,2.628
UGA,AUT,114,20930,61352,3.181,1.858
PYF,THA,77,766,349012,4.709,0.221
COM,KGZ,1,104,983,3.128,1.017
MAC,ASM,1,4155,106,1.507,9.434
CIV,UZB,5,2962,1596,2.300,3.133
BES,KAZ,1,414,3178,0.872,0.315
GUY,SHN,1,442,29,8.833,34.483
TGO,FRA,98,908,487938,4.656,0.201
COM,FJI,1,104,1393,2.627,0.718
TGO,CHN,24,908,150889,2.050,0.159
NLD,RUS,3096,191777,136230,19.154,22.726
SEN,NRU,1,3434,12,4.926,83.333
CHE,LVA,427,76384,9833,15.581,43.425
TCA,CAF,1,1467,176,1.968,5.682
MDA,BEL,52,737,96930,6.152,0.536
SMR,QAT,14,869,38118,2.433,0.367
ZMB,MTQ,5,9787,991,1.605,5.045
ARE,SMR,50,172797,869,4.080,57.537
SYC,GHA,12,534,56052,2.193,0.214
LKA,DOM,52,7471,46940,2.777,1.108
OMN,CHN,320,40057,150889,4.116,2.121
NGA,SYC,29,218728,534,2.683,54.307
VUT,SOM,1,199,1345,1.933,0.743
CPV,IRQ,2,948,8149,0.720,0.245
ROU,BFA,5,18903,508,1.614,9.843
SUR,MNE,1,319,1771,1.330,0.565
TWN,ITA,1311,61165,302492,9.638,4.334
BWA,PYF,6,2692,766,4.178,7.833
SYR,DZA,26,1493,21587,4.580,1.204
MTQ,ATG,27,991,1084,26.050,24.908
MMR,IMN,3,4807,2568,0.854,1.168
GRL,TCA,4,447,1467,4.940,2.727
BGR,AGO,15,5496,2537,4.017,5.912
SYR,GUM,1,1493,3958,0.411,0.253
BOL,PRY,186,5771,39492,12.321,4.710
IND,DMA,12,869366,246,0.821,48.780
VEN,NLD,335,71139,191777,2.868,1.747
RUS,TKM,32,136230,188,6.323,170.213
DOM,TWN,81,46940,61165,1.512,1.324
IRL,GBR,38866,107364,1172344,109.550,33.152
CHN,HRV,329,150889,9250,8.806,35.568
SYC,BHR,8,534,9721,3.511,0.823
MYS,KOR,6363,300914,111488,34.740,57.073
BWA,UZB,6,2692,1596,2.895,3.759
AZE,ETH,20,4083,2741,5.978,7.297
NLD,XKO,61,191777,1164,4.083,52.405
NPL,BDI,3,8375,289,1.928,10.381
SJM,CPV,1,407,948,1.610,1.055
GLP,COM,1,1022,104,3.067,9.615
FRA,KGZ,89,487938,983,4.064,90.539
PHL,PAK,415,571031,102573,1.715,4.046
LBN,AND,7,6368,4256,1.345,1.645
BOL,NCL,2,5771,346,1.415,5.780
SYR,QAT,27,1493,38118,3.579,0.708
NLD,BLZ,65,191777,1549,3.771,41.963
AFG,FRO,1,1444,272,1.596,3.676
PNG,VEN,2,451,71139,0.353,0.028
GRL,LSO,1,447,753,1.724,1.328
